No.,CAS,Name,D,P,H,Mole_vol,eps,temp_eps,ref_eps,alias
1,75-07-0,Acetaldehyde,14.70,12.50,7.90,56.6,,,,
2,64-19-7,Acetic acid,14.50,8.00,13.50,57.1,,,,
3,108-24-7,Acetic anhydride,16.00,11.70,10.20,94.5,,,,
4,67-64-1,Acetone,15.50,10.40,7.00,74.0,,,,
5,75-05-08,Acetonitrile,15.30,18.00,6.10,52.6,,,,ACN
6,98-86-2,Acetophenone,19.60,8.60,3.70,117.4,,,,
7,107-13-1,Acrylonitrile,16.00,12.80,6.80,67.1,,,,
8,107-18-6,Allyl alcohol,16.20,10.80,16.80,68.4,,,,
9,628-63-7,Amyl acetate,15.80,3.30,6.10,148.0,,,,
10,62-53-3,Aniline,19.40,5.10,10.20,91.5,,,,
11,100-66-3,Anisole,17.80,4.10,6.70,119.1,,,,
12,100-52-7,Benzaldehyde,19.40,7.40,5.30,101.5,,,,
13,71-43-2,Benzene,18.40,0.00,2.00,89.4,,,,
14,108-46-3,1.3-Benzenediol,18.00,8.40,21.00,87.5,,,,
15,65-85-0,Benzoic acid,18.20,6.90,9.80,113.1,,,,
16,100-47-0,Benzonitrile,17.40,9.00,3.30,102.6,,,,
17,100-51-6,Benzyl alcohol,18.40,6.30,13.70,103.6,,,,
18,85-68-7,Benzyl butyl phthalate,19.00,11.20,3.10,306.0,,,,
19,100-44-7,Benzyl chloride,18.80,7.10,2.60,115.0,,,,
20,92-52-4,Biphenyl,19.70,1.00,2.00,155.1,,,,
21,108-86-1,Bromobenzene,20.50,5.50,4.10,105.3,,,,
22,74-97-5,Bromochloromethane,17.30,5.70,3.50,65.0,,,,
23,75-25-2,Bromoform,21.40,4.10,6.10,87.5,,,,
24,90-11-9,1-Bromonaphtalene,20.30,3.10,4.10,140.0,,,,
25,75-63-8,Bromotrifluoromethane,9.60,2.40,0.00,97.0,,,,
26,106-97-8,Butane,14.10,0.00,0.00,101.4,,,,
27,107-88-0,1.3-Butanediol,16.60,10.00,21.50,89.9,,,,
28,71-36-3,l-Butanol,16.00,5.70,15.80,91.5,,,,
29,78-92-2,2-Butanol,15.80,5.70,14.50,92.0,,,,
30,123-86-4,Butyl acetate,15.80,3.70,6.30,132.5,,,,
31,105-46-4,Sec-butyl acetate,15.00,3.70,7.60,133.6,,,,
32,141-32-2,Butyl acrylate,15.60,6.20,4.90,143.8,,,,
33,109-73-9,Butylamine,16.20,4.50,8.00,99.0,,,,
34,138-22-7,Butyl lactate,15.80,6.50,10.20,149.0,,,,
35,123-72-8,Butyraldehyde,15.60,10.10,6.20,90.5,,,,
36,107-92-6,Butyric acid,14.90,4.10,10.60,110.0,,,,
37,96-48-0,Gamma butyrolactone,19.00,16.60,7.40,76.8,,,,
38,109-74-0,Butyronitrile,15.30,12.40,5.10,87.3,,,,
39,75-15-0,Carbon disulfide,20.50,0.00,0.60,60.0,,,,
40,56-23-5,Carbon tetrachloride,17.80,0.00,0.60,97.1,,,,
41,108-90-7,Chlorobenzene,19.00,4.30,2.00,102.1,,,,
42,109-69-3,1-Chlorobutane,16.20,5.50,2.00,104.5,,,,
43,75-45-6,Chlorodifluoromethane,12.30,6.30,5.70,72.9,,,,
44,67-66-3,Chloroform,17.80,3.10,5.70,80.7,,,,CHCl3
45,627-30-5,3-Chloro-l-propanol,17.50,5.70,14.70,84.2,,,,
46,108-39-4,m-cresol,18.00,5.10,12.90,104.7,,,,
47,110-82-7,Cyclohexane,16.80,0.00,0.20,108.7,,,,
48,108-93-0,Cyclohexanol,17.40,4.10,13.50,106.0,,,,
49,108-94-1,Cyclohexanone,17.80,8.40,5.10,104.0,,,,
50,108-91-8,Cyclohexylamine,17.20,3.10,6.50,113.8,,,,
51,542-18-7,Cyclohexylchloride,17.30,5.50,2.00,118.6,,,,
52,493-01-6,Cis-decahydronaphthalene,18.80,0.00,0.00,156.9,,,,
53,493-02-7,Trans-decahydronaphthalene,18.00,0.00,0.00,156.9,,,,
54,124-18-5,Decane,15.70,0.00,0.00,195.9,,,,
55,112-30-1,1-Decanol,16.00,4.70,10.00,191.8,,,,
56,123-42-2,Diacetone alcohol,15.80,8.20,10.80,124.2,,,,
57,103-50-4,Dibenzyl ether,19.60,3.40,5.20,197.4,,,,
58,84-74-2,Dibutyl phthalate,17.80,8.60,4.10,266.0,,,,
59,109-43-3,Dibutyl sebacate,13.90,4.50,4.10,339.0,,,,
60,95-50-1,o-dichlorobenzene,19.20,6.30,3.30,112.8,,,,
61,111-44-4,2.2-Dichlorodiethyl ether,18.80,9.00,5.70,117.2,,,,
62,75-71-8,Dichlorodifluoromethane,12.30,2.00,0.00,92.3,,,,
63,75-34-3,1.1-Dichloroethane,16.50,7.80,3.00,84.2,,,,
64,75-35-4,1.1-Dichloroethylene,16.40,52.00,24.00,79.9,,,,
65,108-60-1,Di-(2-chloro-isopropyl) ether,19.00,8.20,5.10,146.0,,,,
66,75-43-4,Dichloromonofluoromethane,15.80,3.10,5.70,75.4,,,,
67,76-14-2,1.2-Dichlorotetrafluoroethane,12.60,1.80,0.00,117.6,,,,
68,108-82-7,Di-iso-butyl carbinol,14.90,3.10,10.80,177.8,,,,
69,111-42-2,Diethanolamine,17.20,10.80,21.20,95.9,,,,
70,109-89-7,Diethylamine,14.90,2.30,6.10,103.2,,,,
71,100-37-8,2-(Diethylamino) ethanol,14.90,5.80,12.00,133.2,,,,
72,105-05-5,Para-diethy l benzene,18.00,0.00,0.60,156.9,,,,
73,105-58-8,Diethyl carbonate,15.10,6.30,3.50,121.0,,,,
74,111-46-6,Diethylene glycol,16.60,12.00,20.70,94.9,,,,
75,124-17-4,Diethylene glycol butyl ether acetate,16.00,4.10,8.20,208.2,,,,
76,112-59-4,Diethylene glycol hexyl ether,16.00,6.00,10.00,204.3,,,,
77,112-34-5,Diethylene glycol monobutyl ether,16.00,7.00,10.60,170.6,,,,
78,111-90-0,Diethylene glycol monoethyl ether,16.10,9.20,12.20,130.9,,,,
79,111-77-3,Diethylene glycol monomethyl ether,16.20,7.80,12.60,118.0,,,,
80,111-40-0,Diethylenetriamine,16.70,13.30,14.30,108.0,,,,
81,60-29-7,Diethyl ether,14.50,2.90,5.10,104.8,,,,
82,96-22-0,Diethyl ketone,15.80,7.60,4.70,"106,4",,,,
83,84-66-2,Diethyl phthalate,17.60,9.60,4.50,198.0,,,,
84,64-67-5,Diethyl sulfate,15.70,14.70,7.10,131.5,,,,
85,352-93-2,Diethyl sulfide,16.80,3.10,2.00,107.4,,,,
86,108-83-8,Di(isobutyl) ketone,16.00,3.70,4.10,177.1,,,,
87,111-96-6,Di(2-methoxyethyl) ether,15.70,6.10,6.50,142.0,,,,
88,127-19-5,"N,N-dimethylacetamide",16.80,11.50,10.20,92.5,,,,
89,68-12-2,Dimethylformamide,17.40,13.70,11.30,77.0,,,,DMF
90,57-14-7,"1,1-Di methyl hydrazine",15.30,5.90,11.00,76.0,,,,
91,131-11-3,Dimethyl phthalate,18.60,10.80,4.90,163.0,,,,
92,67-71-0,Dimethyl sulfone,19.00,19.40,12.30,75.0,,,,
93,67-68-5,Dimethyl sulfoxide,18.40,16.40,10.20,71.3,,,,DMSO
94,117-81-7,Dioctyl phthalate,16.60,7.00,3.10,377.0,,,,
95,123-91-1,"1,4-Dioxane",19.00,1.80,7.40,85.7,,,,
96,142-84-7,Dipropylamine,15.30,1.40,4.10,136.9,,,,
97,25265-71-8,Dipropylene glycol,16.50,10.60,17.70,130.9,,,,
98,34590-94-8,Dipropyiene glycol methyl ether,15.50,5.70,11.20,"157.4,",,,,
99,112-40-3,Dodecane,16.00,0.00,0.00,228.6,,,,
100,112-95-8,Eicosane,16.50,0.00,0.00,359.8,,,,
101,106-89-8,Epichlorohydrin,18.90,7.60,6.60,78.4,,,,
102,75-08-1,Ethanethiol,15.70,6.50,7.10,74.3,,,,
103,64-17-5,Ethanol,15.80,8.80,19.40,58.5,,,,
104,141-43-5,Ethanolamine,17.00,15.50,21.20,59.8,,,,
105,141-78-6,Ethyl acetate,15.80,5.30,7.20,98.5,,,,EA
106,140-88-5,Ethyl acrylate,15.50,7.10,5.50,108.8,,,,
107,106-68-3,Ethyl amyl ketone,16.20,4.50,4.10,156.0,,,,
108,100-41-4,Ethylbenzene,17.80,0.60,1.40,123.1,,,,
109,74-96-4,Ethyl bromide,16.50,8.40,2.30,74.6,,,,
110,97-95-0,2-Ethyl-l-butanol,15.80,4.30,13.50,123.2,,,,
